Date;Start;End;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Sep 4, 2022;4:00 PM;5:00 PM;4,232.5;1,295.5;2,410;4,258.5;19,313;110.75;3,961.5;12,344;4,615.75;1,624.75;316.25;1,136.75
Sep 4, 2022;5:00 PM;6:00 PM;4,365.5;1,367.25;2,496.25;4,857.5;12,262.25;111;3,959.25;12,487.25;5,941;2,360;1,730;1,153.5
Sep 4, 2022;6:00 PM;7:00 PM;4,516.75;1,362;2,894.5;5,391.75;5,182.5;111;3,959.5;12,532.75;6,119.5;3,078;2,839.75;1,189.5
Sep 4, 2022;7:00 PM;8:00 PM;4,629;1,494.5;3,553.25;6,185.25;820.75;111.75;3,957.25;12,408;6,654;3,247.25;5,315;1,191.25
Sep 4, 2022;8:00 PM;9:00 PM;4,637.75;1,451.75;4,349.5;9,148.25;2.25;113;3,964.25;12,403;6,610.25;3,254.75;4,631.75;1,195.75
Sep 4, 2022;9:00 PM;10:00 PM;4,567.5;1,364.5;4,767.5;11,624;0;113.5;3,969;12,414.75;6,788;3,233;3,215.75;1,200.25
Sep 4, 2022;10:00 PM;11:00 PM;4,458;1,336.25;5,156.25;12,166;0;114;3,972.5;12,433;6,953;3,238;1,461;1,176
Sep 4, 2022;11:00 PM;12:00 AM;4,358.75;1,313.5;5,454.75;12,129.5;0;114;3,974;12,423.25;6,683.75;2,443.25;693.5;1,188
Sep 5, 2022;12:00 AM;1:00 AM;4,172.75;1,148.25;5,200.25;11,511;0;114.75;3,980;12,354;6,679.75;1,747.75;17;1,186.5
Sep 5, 2022;1:00 AM;2:00 AM;4,119.25;1,119.5;5,112.5;10,733.25;0;115;3,984.25;12,417.25;6,544;1,539.5;12.75;1,173.75
Sep 5, 2022;2:00 AM;3:00 AM;4,091.25;1,196.25;5,058.75;9,989;0;115;3,993.75;12,438;6,538.75;1,552.25;39.25;1,182
Sep 5, 2022;3:00 AM;4:00 AM;4,088.75;1,139.75;4,693.25;9,428.75;0;115;4,001.5;12,465.25;6,844.25;1,535.75;2.75;1,188.5
Sep 5, 2022;4:00 AM;5:00 AM;4,105;1,209.5;4,311.5;9,023.75;0;115;4,003.5;12,496.75;7,919.25;1,567.25;0;1,188.5
Sep 5, 2022;5:00 AM;6:00 AM;4,167;1,311.75;3,823;8,957;0;115;4,004.5;12,781.75;9,097.5;1,764.25;694.25;1,204.25
Sep 5, 2022;6:00 AM;7:00 AM;4,423;1,389.5;3,350;8,962;84;115.5;4,004.25;12,922;9,741.25;2,269;2,625.5;1,207.5
Sep 5, 2022;7:00 AM;8:00 AM;4,594.75;1,383;3,139.75;8,058.25;2,692.75;115;4,004.5;12,973.5;10,285.75;2,748.75;4,077.25;1,217.75
Sep 5, 2022;8:00 AM;9:00 AM;4,608;1,350.5;3,106.25;6,203;9,166.75;114.25;3,999.5;12,909.5;10,083.75;2,782.5;4,155.25;1,216
Sep 5, 2022;9:00 AM;10:00 AM;4,522.75;1,294.5;2,981.5;4,796.25;17,554.25;113;3,995.25;12,861;10,081.25;2,564.5;1,820.75;1,218
Sep 5, 2022;10:00 AM;11:00 AM;4,371;1,274.5;2,876;4,876.5;25,263;112;3,984;12,602.75;9,818.25;2,318.5;924.25;1,214
Sep 5, 2022;11:00 AM;12:00 PM;4,228.75;1,249;2,958.75;6,464.5;30,263.75;111.25;3,973.75;12,539.5;9,105.75;2,085.25;159.75;1,198.75
Sep 5, 2022;12:00 PM;1:00 PM;4,141.5;1,208.25;3,180.5;8,243.5;32,482.25;111;3,956;12,273;7,865.5;2,010;70.5;1,215.25
Sep 5, 2022;1:00 PM;2:00 PM;4,056.75;1,190.75;3,401;8,507.75;31,704.25;110;3,944;12,271.5;7,406.75;1,921.25;137.25;1,201.5
